long_name,overall,potential,cluster
Yannick Ferreira Carrasco,84,84,0
Fábio Henrique Tavares,84,84,0
Adrien Rabiot,84,84,0
Alejandro Grimaldo García,84,84,0
Rodrigo Javier De Paul,84,84,0
Stanislav Lobotka,84,84,0
Leroy Aziz Sané,84,84,0
Marcos Llorente Moreno,84,84,0
Milan Škriniar,84,84,0
Pablo Martín Páez Gavira,83,90,0
William Alain André Gabriel Saliba,83,89,0
Enzo Jeremías Fernández,83,89,0
Alphonso Boyle Davies,83,88,0
Cody Mathès Gakpo,83,88,0
Dušan Vlahović,83,88,0
Nico Schlotterbeck,83,88,0
Jeremie Agyekum Frimpong,83,88,0
Daniel Olmo Carvajal,83,87,0
Sven Botman,83,87,0
Unai Simón Mendibil,83,86,1
Pau Francisco Torres,83,86,0
Andreas Bødtker Christensen,83,85,0
José María Giménez de Vargas,83,85,0
Alex Meret,83,85,1
Gianluca Mancini,83,85,0
Konrad Laimer,83,84,0
Guido Rodríguez,83,84,0
Benjamin Pavard,83,84,0
André-Franck Zambo Anguissa,83,84,0
Lorenzo Pellegrini,83,84,0
João Maria Lobo Alves Palhinha Gonçalves,83,84,0
Mikel Oyarzabal Ugarte,83,84,0
Patrik Schick,83,84,0
Sergio Ramos García,83,83,0
Hugo Lloris,83,83,1
Mats Hummels,83,83,0
Edin Džeko,83,83,0
Ángel Fabián Di María Hernández,83,83,0
Marco Reus,83,83,0
Jordi Alba Ramos,83,83,0
Sergio Busquets i Burgos,83,83,0
Christian Dannemann Eriksen,83,83,0
Alexandre Lacazette,83,83,0
Wissam Ben Yedder,83,83,0
Francesco Acerbi,83,83,0
José Ignacio Fernández Iglesias,83,83,0
Álvaro Borja Morata Martín,83,83,0
Sergi Darder Moll,83,83,0
Raheem Sterling,83,83,0
Vilmos Tamás Orban,83,83,0
Luiz Frello Filho Jorge,83,83,0
Sébastien Haller,83,83,0
Luke Shaw,83,83,0
Gerard Moreno Balagueró,83,83,0
Emre Can,83,83,0
Filip Kostić,83,83,0
Jonas Hofmann,83,83,0
Piotr Sebastian Zieliński,83,83,0
Alessio Romagnoli,83,83,0
Marcelo Brozović,83,83,0
Rafael Alexandre Fernandes Ferreira da Silva,83,83,0
Nabil Fekir,83,83,0
Marco Asensio Willemsen,83,83,0
Borja Iglesias Quintás,83,83,0
Ronaldo Jailson Cabrais Petri,83,83,0
Eduardo Celmi Camavinga,82,89,0
Diogo Meireles Costa,82,88,1
Ferran Torres García,82,88,0
Joško Gvardiol,82,88,0
Darwin Gabriel Núñez Ribeiro,82,88,0
Robin Le Normand,82,87,0
Kai Lukas Havertz,82,87,0
Nuno Alexandre Tavares Mendes,82,87,0
Manuel Locatelli,82,86,0
Dayotchanculle Oswald Upamecano,82,86,0
Cristian Gabriel Romero,82,86,0
Jadon Sancho,82,86,0
Nahuel Molina Lucero,82,86,0
Dominik Szoboszlai,82,86,0
Orkun Kökçü,82,86,0
Ikoma Loïs Openda,82,86,0
Federico Dimarco,82,85,0
Rodrigo Bentancur Colmán,82,85,0
Noussair Mazraoui,82,85,0
Guglielmo Vicario,82,85,1
Pedro António Pereira Gonçalves,82,85,0
Viktor Tsygankov,82,85,0
Boulaye Dia,82,85,0
Jordan Pickford,82,84,1
Youri Tielemans,82,84,0
Enes Ünal,82,84,0
Lucas Torreira Di Pascua,82,84,0
Presnel Kimpembe,82,84,0
Franck Yannick Kessié,82,84,0
Donyell Malen,82,84,0
Alexis Mac Allister,82,84,0
Dominik Livaković,82,84,1
Timo Werner,82,83,0
Thomas Lemar,82,83,0
Joelinton Cassio Apolinário de Lira,82,83,0
David García Zubiría,82,83,0
Manuel Obafemi Akanji,82,83,0
Mario Hermoso Canseco,82,83,0
Youssef En-Nesyri,82,83,0
José Luis Mato Sanmartín,82,82,0
Olivier Giroud,82,82,0
Fernando Francisco Reges,82,82,0
Mario Götze,82,82,0
Nicolás Hernán Gonzalo Otamendi,82,82,0
Callum Wilson,82,82,0
Stefan de Vrij,82,82,0
Dušan Tadić,82,82,0
Anthony Lopes,82,82,1
Granit Xhaka,82,82,0
Roberto Firmino Barbosa de Oliveira,82,82,0
Íñigo Martínez Berridi,82,82,0
Stefan Savić,82,82,0
Daniel Carvajal Ramos,82,82,0
Mateo Kovačić,82,82,0
Raphaël Adelino José Guerreiro,82,82,0
Fabian Lukas Schär,82,82,0
Otávio Edmilson da Silva Monteiro,82,82,0
José Luís Gayà Peña,82,82,0
Mark Flekken,82,82,1
Vincenzo Grifo,82,82,0
Robert Andrich,82,82,0
João Mário Naval da Costa Eduardo,82,82,0
Ricardo Jorge da Luz Horta,82,82,0
Ángel Martín Correa,82,82,0
Seko Fofana,82,82,0
Jeremías Conan Ledesma,82,82,1
Mattia Zaccagni,82,82,0
Ivan Provedel,82,82,1
Ferland Mendy,82,82,0
Lucas Luciano Mantela Patrício,82,82,1
Josué Durval Chiamulera Vaz,82,82,0
Javier Galán Gil,82,82,0
Isaac Palazón Camacho,82,82,0
Édouard Mendy,82,82,1
Mehdi Taremi,82,82,0
Alejandro Balde Martínez,81,89,0
Ibrahima Konaté,81,87,0
João Félix Sequeira,81,87,0
Oihan Sancet Tirapu,81,87,0
Antony Matheus dos Santos,81,87,0
Alexander Isak,81,86,0
Samuel Chimerenka Chukwueze,81,86,0
Manuel Ugarte Ribeiro,81,86,0
Edmond Fayçal Tapsoba,81,85,0
Dejan Kulusevski,81,85,0
Davide Calabria,81,84,0
Ben Chilwell,81,84,0
Mason Mount,81,84,0
Xaver Schlager,81,84,0
Lucas Tolentino Coelho de Lima,81,84,0
Ibrahim Sangaré,81,84,0
Edson Omar Álvarez Velázquez,81,84,0
Nicolás Iván González,81,84,0
Pedro Antonio Porro Sauceda,81,84,0
Jonathan Christian David,81,84,0
Brice Samba,81,83,1
Kepa Arrizabalaga Revuelta,81,83,1
Odisseas Vlachodimos,81,83,1
Ademola Lookman,81,83,0
Norberto Bercique Gomes Betuncal,81,83,0
Bryan Cristante,81,82,0
Nathan Aké,81,82,0
Jonathan Tah,81,82,0
Allan Saint-Maximin,81,82,0
Malcom Filipe Silva de Oliveira,81,82,0
Ellyes Joris Skhiri,81,82,0
Giovani Lo Celso,81,82,0
Yeray Álvarez López,81,82,0
鎌田 大地,81,82,0
Denzel Justus Morris Dumfries,81,82,0
Brais Méndez Portela,81,82,0
Arnaut Danjuma Adam Groeneveld,81,82,0
Martin Terrier,81,82,0
Almoatasembellah Ali Mohamed Al musrati,81,82,0
Francisco Guillermo Ochoa Magaña,81,81,1
Raúl Albiol Tortajada,81,81,0
Kasper Peter Schmeichel,81,81,1
Ivan Rakitić,81,81,0
Dries Mertens,81,81,0
Rui Pedro dos Santos Patrício,81,81,1
Etienne Capoue,81,81,0
Simon Thorup Kjær,81,81,0
Toby Albertine Maurits Alderweireld,81,81,0
Alexis Alejandro Sánchez Sánchez,81,81,0
Iker Muniain Goñi,81,81,0
Lukáš Hrádecký,81,81,1
Nemanja Matić,81,81,0
Bernd Leno,81,81,1
Henrikh Mkhitaryan,81,81,0
Sebastián Coates Nión,81,81,0
Lorenzo Insigne,81,81,0
Wilfried Zaha,81,81,0
Danilo Luiz da Silva,81,81,0
Lewis Dunk,81,81,0
Steven Berghuis,81,81,0
Danilo Luís Hélio Pereira,81,81,0
Geoffrey Edwin Kondogbia,81,81,0
Felipe Anderson Pereira Gomes,81,81,0
Mário Rui Silva Duarte,81,81,0
Arkadiusz Krystian Milik,81,81,0
Maximilian Arnold,81,81,0
Leandro Trossard,81,81,0
William Silva de Carvalho,81,81,0
Lucas Vázquez Iglesias,81,81,0
Frederico Rodrigues de Paula Santos,81,81,0
Gaëtan Laborde,81,81,0
Rui Tiago Dantas da Silva,81,81,1
Anderson Souza Conceição,81,81,0
Benjamin Bourigeaud,81,81,0
Gerónimo Rulli,81,81,1
Duván Esteban Zapata Banguera,81,81,0
Iñaki Williams Arthuer,81,81,0
Andrej Kramarić,81,81,0
Matteo Politano,81,81,0
Diego Carlos Santos Silva,81,81,0
Hirving Rodrigo Lozano Bahena,81,81,0
Fabián Ruiz Peña,81,81,0
Adryan Juliano Zonta Torres,81,81,0
Rosival Jailson Dourado Santos,81,81,0
Louri Adriano Bisesi Barbosa,81,81,0
Welington Kauê Dano Nascimento,81,81,0
Nailton Suzuki Ito,81,81,0
Marvin Oswaldo Rangel Azevedo,81,81,0
Miguel Ángel Almirón Rejala,81,81,0
Reinildo Isnard Mandava,81,81,0
Jonathan Clauss,81,81,0
Amir Rrahmani,81,81,0
Karim-David Adeyemi,80,87,0
Gonçalo Matias Ramos,80,87,0
Arnau Martínez López,80,87,0
久保 建英,80,86,0
Davide Frattesi,80,86,0
Eljif Elmas,80,86,0
Julián Álvarez,80,86,0
Giorgi Mamardashvili,80,86,1
Brahim Abdelkader Díaz,80,85,0
Florentino Ibrain Morris Luís,80,85,0
Marcus Edwards,80,85,0
Boubacar Bernard Kamara,80,85,0
Juan Marcos Foyth,80,85,0
Martín Zubimendi Ibáñez,80,85,0
Moisés Isaac Caicedo Corozo,80,85,0
Tammy Bakumo-Abraham,80,84,0
Exequiel Alejandro Palacios,80,84,0
Igor Zubeldía Elorza,80,84,0
José Diogo Dalot Teixeira,80,84,0
Francisco José Beltrán Peinado,80,84,0
Luiz Felipe Ramos Marchi,80,84,0
Facundo Axel Medina,80,84,0
Kevin Danso,80,84,0
Nicolò Zaniolo,80,84,0
Armand Laurienté,80,84,0
Youssouf Fofana,80,84,0
Arthur Mendonça Cabral,80,84,0
Dávid Hancko,80,84,0
Roger Ibañez Da Silva,80,84,0
Vítor Machado Ferreira,80,84,0
Sofyan Amrabat,80,83,0
Aleix García Serrano,80,83,0
Aaron Wan-Bissaka,80,83,0
Benjamin White,80,83,0
Richarlison de Andrade,80,83,0
Harvey Lewis Barnes,80,83,0
Teun Koopmeiners,80,83,0
David Raya Martin,80,82,1
Pau López Sabata,80,82,1
Kieran Tierney,80,82,0
Oleksandr Zinchenko,80,82,0
Pervis Josué Estupiñán Tenorio,80,82,0
Chancel Mbemba Mangulu,80,81,0
Anthony Martial,80,81,0
Victor Jörgen Nilsson Lindelöf,80,81,0
Ollie Watkins,80,81,0
Julian Weigl,80,81,0
Jonas Omlin,80,81,1
Emiliano Buendía,80,81,0
Aritz Elustondo Irribaria,80,81,0
André Miguel Valente da Silva,80,81,0
Mauro Wilney Arambarri Rosa,80,81,0
David Neres Campos,80,81,0
Eduardo Gabriel Aquino Cossa,80,81,0
三笘 薫,80,81,0
Giorgio Chiellini,80,80,0
Jesús Navas González,80,80,0
Carlos Alberto Vela Garrido,80,80,0
Erik Lamela,80,80,0
Simon Luc Hildebert Mignolet,80,80,1
Claudio Andrés Bravo Muñoz,80,80,1
David Ospina Ramírez,80,80,1
Antonio Adán Garrido,80,80,1
Georginio Gregion Emile Wijnaldum,80,80,0
Néstor Fernando Muslera Micol,80,80,1
Jordan Henderson,80,80,0
Marko Arnautović,80,80,0
Leonardo Bonucci,80,80,0
Matteo Darmian,80,80,0
Rafael Tolói,80,80,0
Pierre-Emerick Emiliano François Aubameyang,80,80,0
Francis Coquelin,80,80,0
Óscar de Marcos Arana,80,80,0
Juan Guillermo Cuadrado Bello,80,80,0
Nemanja Gudelj,80,80,0
Oliver Baumann,80,80,1
Joël Andre Job Matip,80,80,0
Francisco Román Alarcón Suárez,80,80,0
Jonathan Viera Ramos,80,80,0
Sergio Roberto Carnicer,80,80,0
Oriol Romeu Vidal,80,80,0
Cristiano Biraghi,80,80,0
Mauro Emanuel Icardi Rivero,80,80,0
Jordan Veretout,80,80,0
Gerard Deulofeu Lázaro,80,80,0
Jesús Joaquín Fernández Sáez de la Torre,80,80,0
Leonardo Spinazzola,80,80,0
Edgar Badia Guardiola,80,80,1
Marcel Sabitzer,80,80,0
Niclas Füllkrug,80,80,0
Lucas Ariel Ocampos,80,80,0
Téji Tedy Savanier,80,80,0
Matheus Lima Magalhães,80,80,1
Saúl Ñíguez Esclápez,80,80,0
Emil Peter Forsberg,80,80,0
Marten Elco de Roon,80,80,0
Hakim Ziyech,80,80,0
Hany Mukhtar,80,80,0
Nicolás Alejandro Tagliafico,80,80,0
Alexandre Moreno Lopera,80,80,0
Hamari Traoré,80,80,0
Mario Pašalić,80,80,0
Vedat Muriqi,80,80,0
Valentin Rongier,80,80,0
David Soria Solís,80,80,1
Adam Marušić,80,80,0
Ramy Bensebaini,80,80,0
Joan Jordán Moreno,80,80,0
Alejandro Berenguer Remiro,80,80,0
Marko Dmitrović,80,80,1
Nuno Miguel Gomes dos Santos,80,80,0
Luis Ezequiel Ávila,80,80,0
Maikel Renan Catarino Fagundes,80,80,0
Héniton Enaldo Pires Tramontino,80,80,1
Juan Heberto Mestres de Mesquita,80,80,0
Laureano Thomas Santeiro Marre,80,80,0
Tony Josimar Abranjes Meneses,80,80,0
遠藤 航,80,80,0
Xavi Quentin Shay Simons,79,89,0
Thiago Ezequiel Almada,79,87,0
Ryan Jiro Gravenberch,79,87,0
Marco Carnesecchi,79,87,1
Yeremy Jesús Pino Santos,79,87,0
Mohamed Simakan,79,86,0
Mohammed Kudus,79,86,0
Folarin Balogun,79,86,0
Wesley Fofana,79,86,0
Jurriën David Norman Timber,79,86,0
Giacomo Raspadori,79,86,0
Piero Martín Hincapié Reyna,79,86,0
Gonçalo Bernardo Inácio,79,86,0
Lutsharel Geertruida,79,85,0
Perr Schuurs,79,85,0
Josip Šutalo,79,85,0
Nicholas Williams Arthuer,79,85,0
Joe Gomez,79,84,0
Axel Arthur Disasi,79,84,0
Eberechi Eze,79,84,0
Valentín Mariano José Castellanos Giménez,79,84,0
Amine Gouiri,79,84,0
Christoph Baumgartner,79,84,0
Jean-Clair Dimitri Roger Todibo,79,84,0
Khéphren Thuram-Ulien,79,84,0
Sacha Boey,79,84,0
Daniel Vivian Moreno,79,84,0
Matheus Luiz Nunes,79,84,0
Carlos Augusto Zopolato Neves,79,84,0
Michele Di Gregorio,79,83,1
Mattéo Elias Kenzo Guendouzi Olié,79,83,0
Douglas Luiz Soares de Paulo,79,83,0
Marc Cucurella Saseta,79,83,0
Ridle Bote Baku,79,83,0
Lovro Majer,79,83,0
Alexander Hartmann Bah,79,83,0
Kalvin Phillips,79,82,0
Steven Charles Bergwijn,79,82,0
Ezri Konsa Ngoyo,79,82,0
Christian Pulisic,79,82,0
Marcus Lilian Thuram-Ulien,79,82,0
Emil Audero Mulyadi,79,82,1
Robert Lynch Sánchez,79,82,1
Denis Lemi Zakaria Lako Lado,79,82,0
Dean Henderson,79,82,1
Florian Christian Neuhaus,79,82,0
Yves Bissouma,79,82,0
Scott McTominay,79,82,0
Nikola Milenković,79,82,0
Nicolò Casale,79,82,0
Edgar González Estrada,79,82,0
Renan Augusto Lodi dos Santos,79,82,0
Kurt Happy Zouma,79,81,0
José Ángel Esmoris Tasende,79,81,0
Lukas Manuel Klostermann,79,81,0
Gonçalo Manuel Ganchinho Guedes,79,81,0
Nordi Mukiele Mulere,79,81,0
Matty Cash,79,81,0
Joseph Aidoo,79,81,0
Gonzalo Ariel Montiel,79,81,0
Philipp Lienhart,79,81,0
Nayef Aguerd,79,81,0
Mattia Perin,79,80,1
Juan Agustín Musso,79,80,1
Walter Daniel Benítez,79,80,1
Alexander Sørloth,79,80,0
Daniel Ceballos Fernández,79,80,0
Sergio Herrera Pirón,79,80,1
Jarrod Bowen,79,80,0
Onyinye Wilfred Ndidi,79,80,0
Leon Bailey Butler,79,80,0
Matheus Reis de Lima,79,80,0
Fredrik Aursnes,79,80,0
Carlos Soler Barragán,79,80,0
Emanuel Reynoso,79,80,0
Lucas Gastón Robertone,79,80,0
Tomáš Souček,79,80,0
Alejandro Catena Marugán,79,80,0
Andrea Consigli,79,79,1
Steve Mandanda,79,79,1
Łukasz Fabiański,79,79,1
Marcelo Grohe,79,79,1
Jan Bert Lieve Vertonghen,79,79,0
Antonio Candreva,79,79,0
Axel Laurent Angel Lambert Witsel,79,79,0
Éver Maximiliano David Banega,79,79,0
Edinson Roberto Cavani Gómez,79,79,0
Ivan Perišić,79,79,0
Yuri Berchiche Izeta,79,79,0
César Azpilicueta Tanco,79,79,0
Giacomo Bonaventura,79,79,0
Pedro Eliezer Rodríguez Ledesma,79,79,0
Ben Mee,79,79,0
Luuk de Jong,79,79,0
Benjamin André,79,79,0
Marco Silvestri,79,79,1
Ander Herrera Agüera,79,79,0
Marcos Alonso Mendoza,79,79,0
Thomas Joseph Delaney,79,79,0
Rémy Cabella,79,79,0
Kevin Kampl,79,79,0
Juan Miguel Jiménez López,79,79,0
Dan Burn,79,79,0
Marc Bartra Aregall,79,79,0
Vincent Paté Aboubakar,79,79,0
Luis Fernando Muriel Fruto,79,79,0
Michael Gregoritsch,79,79,0
Matz Willy Els Sels,79,79,1
Gernot Trauner,79,79,0
Lars Unnerstall,79,79,1
Hans Vanaken,79,79,0
Stefan Ortega Moreno,79,79,1
Sebastian Rode,79,79,0
Lucas Digne,79,79,0
Kevin Volland,79,79,0
Frederik Riis Rønnow,79,79,1
David López Silva,79,79,0
James Tarkowski,79,79,0
Harry Maguire,79,79,0
Samuel Yves Umtiti,79,79,0
Edin Višća,79,79,0
Pietro Terracciano,79,79,1
Moisés Gómez Bordonado,79,79,0
Solomon March,79,79,0
Óliver Torres Muñoz,79,79,0
Romário Ricardo da Silva,79,79,0
Christian Günter,79,79,0
Ricardo Domingos Barbosa Pereira,79,79,0
Raúl De Tomás Gómez,79,79,0
John McGinn,79,79,0
Carles Gil de Pareja Vicent,79,79,0
Callum William McGregor,79,79,0
Stole Dimitrievski,79,79,1
Kerem Demirbay,79,79,0
Przemysław Frankowski,79,79,0
Tyrone Mings,79,79,0
José Pedro Malheiro de Sá,79,79,1
Alex Nicolao Telles,79,79,0
Lucas Manuel Zelarayán,79,79,0
Ayoze Pérez Gutiérrez,79,79,0
Aleksandar Mitrović,79,79,0
Ignacio Martín Fernández,79,79,0
Davide Zappacosta,79,79,0
Álvaro García Rivera,79,79,0
José Luis Morales Nogales,79,79,0
Corentin Tolisso,79,79,0
Ludovic Ajorque,79,79,0
Patrick Ciurria,79,79,0
Robin Everardus Gosens,79,79,0
Aleksandr Golovin,79,79,0
Alejandro Sebastián Romero Gamarra,79,79,0
Emelvin William Anjos Rochedo,79,79,1
Ronaldo Diego Essler Domingues,79,79,0
Adnan Claudiano Vidual Machado,79,79,0
Everton Jorge Andrade Zanon,79,79,0
Melvin Luan Parrela Porfírio,79,79,0
Bernard Gabriel Prestão Chaves,79,79,1
Luan Vágner Boas Macedo,79,79,0
Manuel Lazzari,79,79,0
Ethan Rupert Pinnock,79,79,0
Teddy Teuma,79,79,0
Gabriel Veiga Novas,78,89,0
Anssumane Fati,78,88,0
Sepe Elye Wahi,78,88,0
António João Pereira Albuquerque Tavares Silva,78,88,0
Moise Bioty Kean,78,85,0
Addji Keaninkin Marc-Israel Guéhi,78,85,0
Benoît Badiashile Mukinayi,78,85,0
이강인 Kang In Lee,78,85,0
Giovanni Alejandro Reyna,78,85,0
Francisco José García Torres,78,85,0
Domingos André Ribeiro Almeida,78,85,0
Pierre Kazeye Rommel Kalulu Kyatengwa,78,85,0
Francisco Evanilson de Lima Barbosa,78,85,0
Nicolas Jackson,78,85,0
Mickey van de Ven,78,85,0
Emile Smith Rowe,78,84,0
Santiago Tomás Giménez,78,84,0
Mohamed Camara,78,84,0
Michael Olise,78,84,0
Lucas Chevalier,78,84,1
Patrick Wimmer,78,84,0
Gianluca Scamacca,78,83,0
Jose Luís García Vayá,78,83,0
Ludovic Blas,78,83,0
Alban Lafont,78,83,1
Justin Bijlow,78,83,1
冨安 健洋,78,83,0
Gedson Carvalho Fernandes,78,83,0
João Pedro Neves Filipe,78,83,0
Obite Evan N'Dicka,78,83,0
Joseph Willock,78,83,0
Tyrell Malacia,78,83,0
Conor Gallagher,78,83,0
Noa Noëll Lang,78,83,0
Matheus Santos Carneiro Da Cunha,78,83,0
Cheick Oumar Doucouré,78,83,0
Maxence Caqueret,78,83,0
Jacob Ramsey,78,83,0
Francisco José Navarro Aliaga,78,83,0
Jon Moncayola Tollar,78,83,0
Joey Veerman,78,83,0
Vangelis Pavlidis,78,82,0
Luis Fernando Sinisterra Lucumí,78,82,0
Victor Enok Nelsson,78,82,0
Santiago Comesaña Veiga,78,82,0
David Raum,78,82,0
Mërgim Berisha,78,82,0
Amadou Haïdara,78,82,0
Tijjani Reijnders,78,82,0
Konstantinos Mavropanos,78,82,0
Alexis Jesse Saelemaekers,78,82,0
Salis Abdul Samed,78,82,0
Mike Trésor Ndayishimiye,78,82,0
旗手 怜央,78,82,0
Pablo Carmine Maffeo Becerra,78,81,0
Maxime Lopez,78,81,0
Gaetano Castrovilli,78,81,0
Renato Júnior Luz Sanches,78,81,0
Issa Diop,78,81,0
Karl Jesper Karlsson,78,81,0
Caio Henrique Oliveira Silva,78,81,0
堂安 律,78,81,0
Marcos do Nascimento Teixeira,78,81,0
Salih Özcan,78,81,0
Sean Longstaff,78,81,0
Wenderson Rodrigues do Nascimento Galeno,78,81,0
Matteo Pessina,78,81,0
Mathías Olivera Miramontes,78,81,0
Predrag Rajković,78,81,1
Bryan Mbeumo,78,81,0
Sergio Reguilón Rodríguez,78,81,0
Yvon Landry Mvogo Nganoma,78,80,1
Breel-Donald Embolo,78,80,0
Joachim Andersen,78,80,0
Jean Butez,78,80,1
Uğurcan Çakır,78,80,1
Benjamin Henrichs,78,80,0
Mohameth Djibril Ibrahima Sow,78,80,0
Danilho Raimundo Doekhi,78,80,0
Tyler Shaan Adams,78,80,0
Tanguy Ndombèlé Alvaro,78,80,0
Nikola Vlašić,78,80,0
Emerson Aparecido Leite de Souza Junior,78,80,0
Alphonse Areola,78,79,1
Adam Webster,78,79,0
Samuel Gigot,78,79,0
Arnaldo Antonio Sanabria Ayala,78,79,0
Renato Fabrizio Tapia Cortijo,78,79,0
Sebastián Driussi,78,79,0
Rico Henry,78,79,0
Alfonso Pedraza Sag,78,79,0
Arthur Henrique Ramos de Oliveira Melo,78,79,0
Dodi Lukébakio,78,79,0
Simon Bokoté Banza,78,79,0
Riccardo Orsolini,78,79,0
Cengiz Ünder,78,79,0
M'Bala Nzola,78,79,0
Diego Nicolás De La Cruz Arcosa,78,79,0
Mikel Vesga Arruti,78,78,0
Héctor Miguel Herrera López,78,78,0
Dante Bonfim da Costa Santos,78,78,0
José Miguel da Rocha Fonte,78,78,0
Óscar Guido Trejo,78,78,0
Sergio Germán Romero,78,78,1
Jean-Eric Maxim Choupo-Moting,78,78,0
Lars Edi Stindl,78,78,0
Oscar dos Santos Emboaba Júnior,78,78,0
Vicente Guaita Panadero,78,78,1
Michail Antonio,78,78,0
Pascal Groß,78,78,0
Stephan El Shaarawy,78,78,0
Alex Sandro Lobo Silva,78,78,0
Roberto Maximiliano Pereyra,78,78,0
Aitor Fernández Abarisketa,78,78,1
Norberto Murara Neto,78,78,1
Florian Kainz,78,78,0
Dejan Lovren,78,78,0
James Henry Tavernier,78,78,0
Serge Alain Stéphane Aurier,78,78,0
